APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2024-08-04 19:27:28.328 | main | INFO  | com.logback.LogbackApplication | Starting LogbackApplication using Java 21.0.3 with PID 3834 (/Users/kms/Desktop/spring-lab/logback/build/classes/java/main started by kms in /Users/kms/Desktop/spring-lab/logback)
2024-08-04 19:27:28.328 | main | INFO  | com.logback.LogbackApplication | No active profile set, falling back to 1 default profile: "default"
2024-08-04 19:27:28.760 | main | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat initialized with port 8080 (http)
2024-08-04 19:27:28.766 | main | INFO  | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2024-08-04 19:27:28.766 | main | INFO  | o.a.catalina.core.StandardService | Starting service [Tomcat]
2024-08-04 19:27:28.766 | main | INFO  | o.a.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-04 19:27:28.787 | main | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
2024-08-04 19:27:28.787 | main | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 438 ms
2024-08-04 19:27:28.937 | main | INFO  | o.a.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
2024-08-04 19:27:28.943 | main | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat started on port 8080 (http) with context path '/'
2024-08-04 19:27:28.947 | main | INFO  | com.logback.LogbackApplication | Started LogbackApplication in 0.864 seconds (process running for 1.158)
2024-08-04 19:27:29.450 | http-nio-8080-exec-1 | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-04 19:27:29.450 | http-nio-8080-exec-1 | INFO  | o.s.web.servlet.DispatcherServlet | Initializing Servlet 'dispatcherServlet'
2024-08-04 19:27:29.450 | http-nio-8080-exec-1 | INFO  | o.s.web.servlet.DispatcherServlet | Completed initialization in 0 ms
2024-08-04 19:27:29.469 | http-nio-8080-exec-1 | INFO  | com.logback.DemoController | all
2024-08-04 19:27:29.469 | http-nio-8080-exec-1 | WARN  | com.logback.DemoController | all
2024-08-04 19:27:29.469 | http-nio-8080-exec-1 | ERROR | com.logback.DemoController | all
